"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3635","RT @derekjames150: Just think, #DonaldTrump would never have become POTUS without the help and support of Fox News. They have an awful lot…",FALSE,0,NA,2020-12-04 18:39:37,FALSE,NA,"1334930373000785921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gordon1000",138,TRUE,FALSE,NA,NA
"3636","#DonaldTrump lost this election because too many of his voting supporters died of #TrumpHasNoPlan #Coronavirus… https://t.co/VBSHQZOkdi",FALSE,0,NA,2020-12-04 18:38:00,TRUE,NA,"1334929968070078464",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","trumpdumpcare",0,FALSE,FALSE,NA,NA
"3637","RT @TheReal_NRP: Rudolph the Giuliani as sung by Donald trump (yes I know he hasn’t been fired) #impressions #comedy #RudyGuilliani #donald…",FALSE,0,NA,2020-12-04 18:36:13,FALSE,NA,"1334929519283642368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","magsmom7",6,TRUE,FALSE,NA,NA
"3638","#DonaldTrump, 
In 1915 the Supreme Court ruled that accepting a #Pardon is an admission of guilt (Burdick vs. Unite… https://t.co/B93KPxrwkP",FALSE,2,NA,2020-12-04 18:35:57,TRUE,NA,"1334929452489437186",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SokeAnshu",0,FALSE,FALSE,NA,NA
"3639","[NEW VIDEO] 5 Reasons Why Political Discussions Are So Triggering And Dangerous
#Politics #Trigger #FreeSpeech… https://t.co/EanzPr3Rrk",FALSE,0,NA,2020-12-04 18:35:02,TRUE,NA,"1334929220070383616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","happyfunmatt",0,FALSE,FALSE,NA,NA
"3640","#Election2020
Real or Fake?

#ElectionResults2020 #VoterIntegrity
#DonaldTrump #JoeBiden #POTUS https://t.co/brOEikV5bW",FALSE,0,NA,2020-12-04 18:34:31,FALSE,NA,"1334929090445516800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnnFishman",0,FALSE,FALSE,NA,NA
"3641","RT @WABLHat: Trump Announces He Will Veto Defense Bill After It Wouldn't Terminate Section 230 https://t.co/H2e6454hnt #BigTech #DonaldTrum…",FALSE,0,NA,2020-12-04 18:33:49,FALSE,NA,"1334928912988712968",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","burke_tl",3,TRUE,FALSE,NA,NA
"3642","RT @derekjames150: Just think, #DonaldTrump would never have become POTUS without the help and support of Fox News. They have an awful lot…",FALSE,0,NA,2020-12-04 18:33:05,FALSE,NA,"1334928729458561024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","knight_wendy",138,TRUE,FALSE,NA,NA
"3643","RT @TheReal_NRP: Rudolph the Giuliani as sung by Donald trump (yes I know he hasn’t been fired) #impressions #comedy #RudyGuilliani #donald…",FALSE,0,NA,2020-12-04 18:32:55,FALSE,NA,"1334928688807370753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OneeghaCarol",6,TRUE,FALSE,NA,NA
"3644","RT @ericcoliu: @StoryHaikuTanka Trump, in Video From White House, Delivers a 46-Minute Diatribe on the ‘Rigged’ Election.

--  Michael D. S…",FALSE,0,NA,2020-12-04 18:32:28,FALSE,NA,"1334928573535301636",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","StoryHaikuTanka",2,TRUE,FALSE,NA,NA
"3645","#EdwardSnowden asks Trump to pardon #WikiLeaks founder #JulianAssange https://t.co/prC4ZdgDK9 #PressFreedom #DonaldTrump",FALSE,0,NA,2020-12-04 18:31:59,FALSE,NA,"1334928454261751809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prashant_92",0,FALSE,FALSE,NA,NA
"3646","RT @TheReal_NRP: Rudolph the Giuliani as sung by Donald trump (yes I know he hasn’t been fired) #impressions #comedy #RudyGuilliani #donald…",FALSE,0,NA,2020-12-04 18:31:11,FALSE,NA,"1334928252092243968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheReal_NRP",6,TRUE,FALSE,NA,NA
"3647","#SenatorLoeffler #SenDavidPerdue #KLoeffler 

You just invited an anchor to be placed about your necks while you tr… https://t.co/pp6cAokuST",FALSE,1,NA,2020-12-04 18:30:36,TRUE,NA,"1334928105006362629",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BLUNT05194958",0,FALSE,FALSE,NA,NA
"3648","@realDonaldTrump @OANN #DonaldTrump was very vocal about his attempts to shut down #USPS to stop Mail Ballots to gi… https://t.co/6hy9X8XY9Y",FALSE,0,"realDonaldTrump",2020-12-04 18:29:39,TRUE,"1334848556176379907","1334927863976357890","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Toughone6",0,FALSE,FALSE,NA,NA
"3649","RT @derekjames150: Just think, #DonaldTrump would never have become POTUS without the help and support of Fox News. They have an awful lot…",FALSE,0,NA,2020-12-04 18:27:57,FALSE,NA,"1334927436820197385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dutts4",138,TRUE,FALSE,NA,NA
"3650","Really #DonaldTrump?Consorting with nazis, and facists?I didn't expect otherwise!#Baudet also supported financially… https://t.co/RRtSCJDOhU",FALSE,2,NA,2020-12-04 18:27:34,TRUE,NA,"1334927339340386310",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Midi1423",0,FALSE,FALSE,NA,NA
"3651","RT @derekjames150: Just think, #DonaldTrump would never have become POTUS without the help and support of Fox News. They have an awful lot…",FALSE,0,NA,2020-12-04 18:26:25,FALSE,NA,"1334927050029879296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lorri29959",138,TRUE,FALSE,NA,NA
"3652","Also #DonaldTrump #DonaldTrumpYoureFired #donaldtrumpisatraitor",FALSE,0,"Momsolo_",2020-12-04 18:26:04,FALSE,"1334926733124878337","1334926962498756608","17885236","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Momsolo_",0,FALSE,FALSE,NA,NA
